Code,DisplayName,CodeSystem
791000124107,2-methyl-3-hydroxybutyric aciduria,SNOMED
241154007,Abdominal angina,SNOMED
230648001,Abdominal cutaneous nerve entrapment syndrome,SNOMED
783161005,ABri amyloidosis,SNOMED
1085131000119105,Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis,SNOMED
1085181000119106,Abscess of intestine co-occurrent and due to chronic ulcerative proctitis,SNOMED
1085231000119100,Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis,SNOMED
303571000119103,Acquired cauliflower ear of left auricle,SNOMED
303581000119100,Acquired cauliflower ear of right auricle,SNOMED
2772003,Acquired epidermolysis bullosa,SNOMED
1304122006,Acquired progressive esotropia due to high myopia,SNOMED
77039003,Acquired progressive kinking of hair,SNOMED
403975006,Acquired progressive lymphangioma,SNOMED
201015007,Actinic prurigo,SNOMED
52636001,Actinic reticuloid,SNOMED
402993003,Actinomycetoma caused by Actinomadura madurae,SNOMED
402994009,Actinomycetoma caused by Actinomadura pelletieri,SNOMED
402986002,Actinomycetoma caused by Nocardia asteroides,SNOMED
402985003,Actinomycetoma caused by Nocardia brasiliensis,SNOMED
402129006,Actinomycetoma caused by Nocardia infection,SNOMED
402987006,Actinomycetoma caused by Nocardia otitidis caviarum,SNOMED
402995005,Actinomycetoma caused by Streptomyces somaliensis,SNOMED
237085007,Actinomycotic cervicitis,SNOMED
186397005,Actinomycotic madura foot,SNOMED
187089001,Actinomycotic mycetoma,SNOMED
396337009,Acute and chronic gastritis,SNOMED
442025000,Acute exacerbation of chronic asthmatic bronchitis,SNOMED
425748003,Acute exacerbation of chronic bronchitis,SNOMED
191548004,Acute exacerbation of chronic catatonic schizophrenia,SNOMED
698296002,Acute exacerbation of chronic congestive heart failure,SNOMED
1296659009,Acute exacerbation of chronic heart failure,SNOMED
195951007,Acute exacerbation of chronic obstructive airways disease,SNOMED
293241000119100,Acute exacerbation of chronic obstructive bronchitis,SNOMED
191555002,Acute exacerbation of chronic paranoid schizophrenia,SNOMED
191572009,Acute exacerbation of chronic schizoaffective schizophrenia,SNOMED
191531007,Acute exacerbation of chronic schizophrenia,SNOMED
1751000119100,Acute exacerbation of COPD with asthma,SNOMED
789574002,Acute exacerbation of idiopathic pulmonary fibrosis,SNOMED
402327004,Acute generalised pustular flare of preexisting plaque psoriasis,SNOMED
285381006,Acute infective exacerbation of COPD,SNOMED
368871000119106,Acute nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III,SNOMED
713370005,Acute on chronic alcoholic liver disease,SNOMED
702717000,Acute on chronic cervicitis,SNOMED
1084851000119106,Acute on chronic cholangitis due to calculus of bile duct,SNOMED
153951000119103,Acute on chronic combined systolic and diastolic heart failure,SNOMED
707834009,Acute on chronic cystitis,SNOMED
443344007,Acute on chronic diastolic heart failure,SNOMED
702716009,Acute on chronic endometritis,SNOMED
128621000119106,Acute on chronic graft versus host disease following transplant of kidney,SNOMED
1144963000,Acute on chronic graft-versus-host disease,SNOMED
7361000175106,Acute on chronic hypercapnic respiratory failure,SNOMED
20091000175107,Acute on chronic hypoxemic and hypercapnic respiratory failure,SNOMED
10672271000119100,Acute on chronic hypoxemic respiratory failure,SNOMED
2053831000122108,Acute on chronic liver failure,SNOMED
721724009,Acute on chronic pancreatitis,SNOMED
1263771009,Acute on chronic pelvic inflammatory disease,SNOMED
702715008,Acute on chronic prostatitis,SNOMED
16838951000119100,Acute on chronic right-sided congestive heart failure,SNOMED
702714007,Acute on chronic sialoadenitis,SNOMED
443253003,Acute on chronic systolic heart failure,SNOMED
702718005,Acute on chronic tubulointerstitial nephritis,SNOMED
16024431000119108,Acute polyarticular juvenile idiopathic arthritis,SNOMED
230372003,Acute relapsing multiple sclerosis,SNOMED
314017009,Acute-on-chronic glaucoma,SNOMED
236582008,Acute-on-chronic rejection of renal transplant,SNOMED
236433006,Acute-on-chronic renal failure,SNOMED
67905004,Acute-on-chronic respiratory failure,SNOMED
236649000,Acute-on-chronic retention of urine,SNOMED
402219005,Acute-on-chronic vesicular eczema of feet,SNOMED
402221000,Acute-on-chronic vesicular eczema of hands,SNOMED
402220004,Acute-on-chronic vesicular eczema of hands and feet,SNOMED
783258000,ADan amyloidosis,SNOMED
1172694007,Adenylosuccinate synthetase-like 1-related distal myopathy,SNOMED
7699004,Adhesive middle ear disease,SNOMED
31700001,Adhesive middle ear disease with adhesions of drum head to incus,SNOMED
39222009,Adhesive middle ear disease with adhesions of drum head to promontorium,SNOMED
