Code,DisplayName,CodeSystem
121351002,"1,2-Dimethylbenzene measurement",SNOMED
409870009,"1,3-beta-D-glucan detection",SNOMED
121352009,"1,3-Dichlorobenzene measurement",SNOMED
121353004,"1,3-Dimethylbenzene measurement",SNOMED
121354005,"1,4-Dichlorobenzene measurement",SNOMED
104606001,11-deoxycortisol challenge tests,SNOMED
313627007,120 minute plasma glucose measurement,SNOMED
313916007,150 minute plasma GH measurement,SNOMED
313628002,150 minute plasma glucose measurement,SNOMED
313919000,150 minute plasma prolactin measurement,SNOMED
104447005,17-Hydroxypregnenolone measurement,SNOMED
313902002,180 minute plasma GH measurement,SNOMED
105042001,"2,4 toluenediamine measurement",SNOMED
121365000,"2,4-Dichlorophenoxyacetate measurement",SNOMED
121367008,"2,5-Hexanedione measurement",SNOMED
121368003,2-Aminoadipate measurement,SNOMED
1156151000168108,2-minute walk test,SNOMED
105045004,2-pyridone measurement,SNOMED
105046003,2-pyridone/n'-methylnicotinamide ratio measurement,SNOMED
104449008,20-Hydroxyprogesterone measurement,SNOMED
313903007,210 minute plasma GH measurement,SNOMED
446460000,24 hour oesophageal pH study,SNOMED
394951002,24 hour urine 3-methoxytyramine output,SNOMED
391540009,24 hour urine aldosterone output,SNOMED
933451451000036108,24 hour urine alpha-1-microglobulin measurement,SNOMED
313929007,24 hour urine catecholamine output measurement,SNOMED
933483791000036100,24 hour urine indium measurement,SNOMED
933483781000036102,24 hour urine iodine measurement,SNOMED
391482006,24 hour urine lead output,SNOMED
313675002,24 hour urine magnesium output measurement,SNOMED
390946001,24 hour urine metadrenaline output,SNOMED
390947005,24 hour urine normetadrenaline output,SNOMED
933506571000036107,24 hour urine tin measurement,SNOMED
440576000,240 minute plasma glucose measurement,SNOMED
313905000,240 minute serum GH measurement,SNOMED
428803005,3 lead ECG monitoring,SNOMED
121891009,3-Aminoisobutyrate measurement,SNOMED
121892002,3-beta-Androstanediol measurement,SNOMED
121893007,"3-Hydroxy,3-methylglutarate measurement",SNOMED
117638008,3-Hydroxysebacate measurement,SNOMED
121302000,"3-Methyl,4-hydroxymandelate measurement",SNOMED
121305003,3-Methylglutarate measurement,SNOMED
121306002,3-o-Methyldopa measurement,SNOMED
313875000,30 minute plasma GH measurement,SNOMED
313625004,30 minute plasma glucose measurement,SNOMED
313918008,30 minute plasma prolactin measurement,SNOMED
313716004,30 minute serum cortisol measurement,SNOMED
313927009,30 minute serum FSH measurement,SNOMED
313877008,30 minute serum GH measurement,SNOMED
313629005,30 minute serum glucose measurement,SNOMED
